time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448000000	20.3143	11.849	4.82315	1.55428	0.612433	lidar	5.33943	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3446	12.0839	4.88174	1.54296	0.508623	radar	4.33508	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3271	12.3803	4.99246	1.58405	0.527693	lidar	0.874878	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2737	12.6203	4.92589	1.65084	0.618206	radar	2.64318	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3035	12.8495	4.8815	1.65712	0.587415	lidar	2.19825	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2942	13.0776	4.84774	1.67836	0.576896	radar	2.14961	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2626	13.2812	4.77236	1.70553	0.575108	lidar	0.957412	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2258	13.516	4.78919	1.72618	0.548619	radar	1.35493	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2042	13.778	4.83617	1.74659	0.539666	lidar	1.42991	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1499	14.0027	4.80091	1.78356	0.564933	radar	0.760166	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0921	14.2623	4.85634	1.81377	0.567304	lidar	0.369126	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0205	14.4917	4.85622	1.84323	0.562835	radar	1.34088	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9069	14.754	4.94385	1.88987	0.585581	lidar	0.996335	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8429	14.97	4.91394	1.89935	0.535764	radar	3.42568	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8217	15.1778	4.82381	1.90202	0.506738	lidar	2.31017	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6897	15.3819	4.74695	1.9943	0.678006	radar	7.4389	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
